SEMANTIC INDISCERNABILITY TEST FOR data/YAMATO
http://www.hozo.jp/owl/YAMATO101215.owl#rule is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#specification
http://www.hozo.jp/owl/YAMATO101215.owl#area_2 is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#mass
http://www.hozo.jp/owl/YAMATO101215.owl#hungry is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#full
http://www.hozo.jp/owl/YAMATO101215.owl#game is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#performace
http://www.hozo.jp/owl/YAMATO101215.owl#mountain is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#triangle
http://www.hozo.jp/owl/YAMATO101215.owl#mountain is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#hill
http://www.hozo.jp/owl/YAMATO101215.owl#mountain is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#cube
http://www.hozo.jp/owl/YAMATO101215.owl#food is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#fuel
http://www.hozo.jp/owl/YAMATO101215.owl#iron is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#water
http://www.hozo.jp/owl/YAMATO101215.owl#iron is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#air
http://www.hozo.jp/owl/YAMATO101215.owl#C is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Java
http://www.hozo.jp/owl/YAMATO101215.owl#high_low_quantity is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#non-meta_property
http://www.hozo.jp/owl/YAMATO101215.owl#pulse is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#change_event
http://www.hozo.jp/owl/YAMATO101215.owl#pull_strength is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#breakdown_voltage
http://www.hozo.jp/owl/YAMATO101215.owl#thought is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#data
http://www.hozo.jp/owl/YAMATO101215.owl#Property is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#State
http://www.hozo.jp/owl/YAMATO101215.owl#Property is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Instance
http://www.hozo.jp/owl/YAMATO101215.owl#Property is third-grade indiscernible from http://www.hozo.jp/owl/YAMATO101215.owl#Context
