SEMANTIC INDISCERNABILITY TEST FOR data/proton
http://proton.semanticweb.org/2005/04/protonu#PublishingCompany is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#TVCompany
http://proton.semanticweb.org/2005/04/protonu#PublishingCompany is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#NewsAgency
http://proton.semanticweb.org/2005/04/protonu#NonGeographicLocation is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#GlobalRegion
http://proton.semanticweb.org/2005/04/protonu#Brand is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#MediaBrand
http://proton.semanticweb.org/2005/04/protonu#RadioStation is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#TVChannel
http://proton.semanticweb.org/2005/04/protonu#Money is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Art
http://proton.semanticweb.org/2005/04/protonu#Money is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Sport
http://proton.semanticweb.org/2005/04/protonu#Project is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Accident
http://proton.semanticweb.org/2005/04/protonu#Project is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#MilitaryConflict
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Waterfalls
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Plateau
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Cape
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#WaterBank
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Coast
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Plain
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Cave
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Delta
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Beach
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Reef
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Continent
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Peninsula
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Crater
http://proton.semanticweb.org/2005/04/protonu#Gap is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Isthmus
http://proton.semanticweb.org/2005/04/protonu#President is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Chairman
http://proton.semanticweb.org/2005/04/protonu#AudioRecording is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#MusicalComposition
http://proton.semanticweb.org/2005/04/protonu#RailroadFacility is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Tunnel
http://proton.semanticweb.org/2005/04/protonu#Offer is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Order
http://proton.semanticweb.org/2005/04/protonu#AirplaneModel is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#WeaponModelOrSystem
http://proton.semanticweb.org/2005/04/protonu#AirplaneModel is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#CarModel
http://proton.semanticweb.org/2005/04/protonu#Airline is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Telecom
http://proton.semanticweb.org/2005/04/protonu#Airline is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#InsuranceCompany
http://proton.semanticweb.org/2005/04/protonu#Airline is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Bank
http://proton.semanticweb.org/2005/04/protonu#CalendarYear is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Date
http://proton.semanticweb.org/2005/04/protonu#CalendarYear is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Week
http://proton.semanticweb.org/2005/04/protonu#CalendarYear is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Quarter
http://proton.semanticweb.org/2005/04/protonu#CalendarYear is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Month
http://proton.semanticweb.org/2005/04/protonu#Date is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Week
http://proton.semanticweb.org/2005/04/protonu#Date is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Quarter
http://proton.semanticweb.org/2005/04/protonu#Date is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Month
http://proton.semanticweb.org/2005/04/protonu#Tower is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Hotel
http://proton.semanticweb.org/2005/04/protonu#PopulatedPlace is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#City
http://proton.semanticweb.org/2005/04/protonu#Week is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Quarter
http://proton.semanticweb.org/2005/04/protonu#Week is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Month
http://proton.semanticweb.org/2005/04/protonu#MagazineIssue is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#NewspaperIssue
